idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1089311767400984576;2019-01-26  23:58:58;JORGE  FLOR;SRJORGEFLOR;499;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;ESMERALDAS(ECUADOR)
1089311359614025729;2019-01-26  23:57:21;VERONICA  BARRENO;VERITO_BARRENO;284;0;GUSTA  HTTPS  TCOD9RXOJGC0W;0.34;0.42000000000000004;GUAYAQUIL
1089310678454882314;2019-01-26  23:54:38;JOSUE  LEON  R.;JOSUELEONR1989;24;0;BANCOPICHINCHA  BANCO  PICHINCHA  MENOS  CONTESTEN  MENSAJES  INTERNOS;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089310562079657984;2019-01-26  23:54:11;MELISA  LAMA;MELISALAMA;66;17;BANCOPICHINCHA  INCLUYENOS  CONTACTOS  NUEVO  SERVICIO  BANCA  TELEFONICA  PERMITE  IDENTIFICAE  INICIO  L;0.34;0.42000000000000004;UT:  -1.042168,-79.476338
1089310037644926976;2019-01-26  23:52:06;JOSUE  LEON  R.;JOSUELEONR1989;24;0;BANCOPICHINCHA  BANCO  PICHINCHA  MENOS  CONTESTEN  MENSAJES  INTERNOS;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089308841488068613;2019-01-26  23:47:20;EDDIE  CASTILLO;EDDIEROLLING14;294;6;BARCEPANCHITO  BANCO  PICHINCHA  SABE  HINCHADA  EMELEC  ALIANZA  LIMA  SOLA  HTTPS  TCOYSKOIH4PDU;0.34;0.42000000000000004;QUITO,  ECUADOR
1089308548218216449;2019-01-26  23:46:10;BRAYAN  ABEL  FRANCO  PACHECO;BRAYANABELFRAN1;14;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;VILLA  DEL  REY  ECUADOR  
1089308300058021888;2019-01-26  23:45:11;MANOLO  CELLERI  V.;MCELLERIV;323;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL  ECUADOR
1089306425342521350;2019-01-26  23:37:44;FIEBRE  AMARILLA;FIEBREBARCELONA;71661;6;BARCEPANCHITO  BANCO  PICHINCHA  SABE  HINCHADA  EMELEC  ALIANZA  LIMA  SOLA  HTTPS  TCOYSKOIH4PDU;0.34;0.42000000000000004;ECUADOR
1089304210733236225;2019-01-26  23:28:56;JORGE  LUEY  ORTEGA;JORGELUEYORTEGA;21;17;BANCOPICHINCHA  INCLUYENOS  CONTACTOS  NUEVO  SERVICIO  BANCA  TELEFONICA  PERMITE  IDENTIFICAE  INICIO  L;0.34;0.42000000000000004;
1089301985935929344;2019-01-26  23:20:06;MICHAEL  ARMIJOS;MICHARMIJOS;137;6;BANCOPICHINCHA  HOYESPARA  COMPRAS  SALGAN  GRATIS  SI  PAGAS  TARJETAS  BANCO  PICHINCHA  LOCALES;0.34;0.42000000000000004;CELICA,  LOJA  -  ECUADOR
1089298917144084480;2019-01-26  23:07:54;ING.  RONALD  ZAMBRANO;ROVY77;362;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089298524204949504;2019-01-26  23:06:21;JUAN  CATM;JUANK_ROSAS;275;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089293609654984705;2019-01-26  22:46:49;CARLOS  NAVARRETE  BSC;JUANCAR14957201;19;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089292002347216896;2019-01-26  22:40:26;CARLOS  VALDEZ;LOCOVALDEZ94;246;0;SERIO  BANCOPICHINCHA  PUEDEN  PONER  MEJOR  PRESENTACION  NOMBRE  ESTADIO  PARECE  LETRAS  MINIATURA  NOCHEAMARILLA2019  HTTPS  TCO4QQEMJWXLC;0.34;0.42000000000000004;GUAYAQUIL
1089291856498823170;2019-01-26  22:39:51;FER;FMZAVALA;125;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089290886515777536;2019-01-26  22:36:00;ALVARO  SALAZAR;ALVAROGALAPAGOS;1134;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089290304203706368;2019-01-26  22:33:41;CARLOS  MUNOZ  JR.;CARLOSMUNOZJR;7196;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;NEWARK  NJ
1089289385017860098;2019-01-26  22:30:02;JOSE  ANTONIO  AGUILAR;JOSEAGUILARJIM2;114;1;TUITGUAYACO  FEGASG  SI  BANCOPICHINCHA  CONTRIBUYE  ONE  HUNDRED  PRESUPUESTO  EQUIPO  SERIA  POSIBLE  LOGO  EMPRE;0.34;0.42000000000000004;
1089288200126980097;2019-01-26  22:25:19;LUIS  MORALES;5LUIS90;21;118;MIGUELEJIJONH  SACANDO  DINERO  CAJERO  BANCOPICHINCHA  SIX  DICIEMBRE  POUGAL  MATARON  NOE  QUITO  CERO  SEGUR;0.34;0.42000000000000004;
1089279779164119040;2019-01-26  21:51:51;VERONICA  POVEDA;VERO_POVEDA;455;0;SI  EMPEZARON  HOY  CASUALMENTE  LUEGO  ASESINATO  AYER  POUGAL  BANCOPICHINCHA  LLAMA  ENCUESTA  SATISFACCION  SERVICIO;0.34;0.42000000000000004;QUITO
1089274271921250304;2019-01-26  21:29:58;JUAN  C.  AVALOS;JUCAVALOS1;597;14;LARADIOREDONDA  VIVE  NOCHEAMARILLA2019  JUNTO  LARADIOREDONDA  SABADO  TWENTY-SIX  ENERO  ESTADIO  MONUMENTAL  BANCOPICHINCHA  ONE;0.34;0.42000000000000004;QUEENS  N.Y
1089273916978315264;2019-01-26  21:28:34;LA  RADIO  REDONDA;LARADIOREDONDA;32545;14;LARADIOREDONDA  VIVE  NOCHEAMARILLA2019  JUNTO  LARADIOREDONDA  SABADO  TWENTY-SIX  ENERO  ESTADIO  MONUMENTAL  BANCOPICHINCHA  ONE;0.34;0.42000000000000004;ECUADOR
1089273891086917632;2019-01-26  21:28:28;STEVEN  CARRION;STEVENCARRION04;35;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;QUITO,  ECUADOR
1089271519522553864;2019-01-26  21:19:02;CARLITA  GOMEZ;CARLITACEGY;83;3;GORJE_09  ECUAINM  POLICIAECUADOR  MARIAPAULAROMO  MININTERIOREC  INVESTIGUEN  TRABAJADORES  AGENCIA  BANCOPICHINCHA  DOS;0.34;0.42000000000000004;QUITO,  ECUADOR
1089270367141666816;2019-01-26  21:14:27;APOYOTOTALABSC;APOYOTOTALABSC;6591;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;  LA  TRONCAL,  ECU  -  MIAMI,  FL
1089269754018320385;2019-01-26  21:12:01;HERAZOARMARNDO;HERAZOARMARNDO;9;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089266784597889024;2019-01-26  21:00:13;CESAR  RONALD  MURILLO;CRMA82;10;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089266615575896065;2019-01-26  20:59:33;MARIO  TUTIVEN  TORRES;MARIOTUTIVEN;105;0;SOCIOSBSC  BANCOPICHINCHA  PANCHOCEVALLOSV  HRUGEL  LUIGIMB  CHEOGOMEZ  GINOFREIREB  MAUROV_87  SOCIOSBSCQUITO  ZONAMEGARADIOTV  HINCHA_AMARILLO  BUEN  DIA  PUEDO  HACER  TRANSFERENCIA  BANCARIA  PICHINCHA  VER  SI  DIA;0.34;0.42000000000000004;
1089265784193454081;2019-01-26  20:56:15;DIEGO;GALAXYSHIT19;19;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;JAMAICA
1089265647421440000;2019-01-26  20:55:42;E  L    T  I  G  R  E    ;SAMU_MAQUILON;346;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089258817764888576;2019-01-26  20:28:34;GABRIEL  CORDERO;CORDERIT094;275;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089257988387467265;2019-01-26  20:25:16;CARLOSXAVIER;CARLOSX76821544;48;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089257651102511104;2019-01-26  20:23:56;JULIO  ARGANDONA  MARTINEZ;JULIOARGANDOA;255;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;PORTOVIEJO,  ECUADOR
1089254460973608962;2019-01-26  20:11:15;MIRIANBSC;CHIKIIIISSSS;14887;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;ECUADOR  
1089253308169109504;2019-01-26  20:06:40;WILICO  2;WILLIAMQUEZADA7;564;118;MIGUELEJIJONH  SACANDO  DINERO  CAJERO  BANCOPICHINCHA  SIX  DICIEMBRE  POUGAL  MATARON  NOE  QUITO  CERO  SEGUR;0.34;0.42000000000000004;CUENCA,  ECUADOR
1089252694299238400;2019-01-26  20:04:14;ARMANDO  SEGOVIA;ARMANDOSEGOVIA5;302;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;QUEENS,  NEW  YORK.
1089252168337682433;2019-01-26  20:02:08;CHRISTIAN  P@UL  ;LYCAN7KEOPS;225;0;LARADIOREDONDA  BANCOPICHINCHA  NUNCA  DUDES  ESTARE  AQUI  NOCHEAMARILLA2019  DROZBAND;0.34;0.42000000000000004;QUITO,  ECUADOR
1089252039182426112;2019-01-26  20:01:38;CHRISTIAN  P@UL  ;LYCAN7KEOPS;225;14;LARADIOREDONDA  VIVE  NOCHEAMARILLA2019  JUNTO  LARADIOREDONDA  SABADO  TWENTY-SIX  ENERO  ESTADIO  MONUMENTAL  BANCOPICHINCHA  ONE;0.34;0.42000000000000004;QUITO,  ECUADOR
1089251595735523328;2019-01-26  19:59:52;JORGE  ONATE  MUNOZ;PNELSON_SAMBO;192;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089251152150040576;2019-01-26  19:58:06;PETER;UNKNOWGENIUS10;165;0;PAULTUAMIGO24  DRWANDRADEE  MARIAPAULAROMO  POLICIAECUADOR  BANCOPICHINCHA  DIME  GOBIERNO  CORRUPCION  GOBIERNOS  TENIAN  CORRUPCION  HACIAN  PAIS  CORREA  DAIMINUYO  POBREEZA  CRIMEN  TRAJO  TURISMO  DATE  PAIS  MEJOR  PREAIDENTE  ULTIMOS  EIGHTY  ANIOS;0.34;0.42000000000000004;U.S.A
1089250999297028099;2019-01-26  19:57:30;@THEWATCHER;THEWATCHER_EC;47;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089250566314868736;2019-01-26  19:55:46;XAVIER  MARTINEZ;XAVIERM70199466;13;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAS,  ECUADOR
1089250381509656576;2019-01-26  19:55:02;JHONNATAN  TRUJILLO;_JHONNT;34;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;ECUADOR  RIOBAMBA
1089249647112212485;2019-01-26  19:52:07;NPM;TUITGUAYACO;716;1;FEGASG  SI  BANCOPICHINCHA  CONTRIBUYE  ONE  HUNDRED  PRESUPUESTO  EQUIPO  SERIA  POSIBLE  LOGO  EMPRESA  UNICO  CAMISETA  PIENSELO;0.34;0.42000000000000004;GUAYAQUIL  SPORTING  CLUB
1089249381134594050;2019-01-26  19:51:04;JASON  A.C.;0NNIO;44;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;ECUADOR
1089247803291959303;2019-01-26  19:44:48;ADRIANSOLIS710;ADRIANSOLIS_710;56;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;QUITO,  ECUADOR
1089247641903484928;2019-01-26  19:44:09;JUAN  C.  AVALOS;JUCAVALOS1;597;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;QUEENS  N.Y
1089242653265485826;2019-01-26  19:24:20;LEONELA  MAGALLANES;22_LEONELA;3213;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL
1089242644033740802;2019-01-26  19:24:18;EDUARDO  CASTILLO  M;TAXILOCUTOR;383;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL-ECUADOR
1089240848368390144;2019-01-26  19:17:10;ALEX  COZAR;ALEXCOZAR;418;1;AHORA  VA  SER  COMUNICADO  SR  LENIN  FORMARA  BRIGADAS  CONTROLAR  SITUACION  LEGAL  PERSONAS  Q  TRABAJAN  BANCO  PICHINCHA  BANCOPICHINCHA  ANDERSSONBOSCAN  LAPOSTA_ECU  LUISEVIVANCO  HTTPS  TCONUHBTZF7UY;0.34;0.42000000000000004;ECUADOR
1089240061470740481;2019-01-26  19:14:02;LEONARDO  ARAGUNDY;L2GUARDIAN;63;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089239720649998336;2019-01-26  19:12:41;JERSSON  GAROFALO;JERSSINHOAGG;99;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUI  ECUADOR
1089237220681232387;2019-01-26  19:02:45;PAUL;PAULTUAMIGO24;20;0;UNKNOWGENIUS10  DRWANDRADEE  MARIAPAULAROMO  POLICIAECUADOR  BANCOPICHINCHA  TODA  OLLA  CORRUPCION  DESTAPO  EVIDENCIA  MAS  CIEGO  QUIERE  VER;0.34;0.42000000000000004;QUITO,  ECUADOR
1089236895941439489;2019-01-26  19:01:27;BSC  CAMPEON  2019;MIKELCAS69;14;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GALAPAGOS,  ECUADOR
1089236532324634624;2019-01-26  19:00:00;BSC  HCUYO;CUYO_HERNAN;186;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089235291230162945;2019-01-26  18:55:05;EDISON  CADENA  GAIBOR;EDISONCADENAGAI;36;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;
1089233430968176643;2019-01-26  18:47:41;GREHY_MELENDRES20;GMELENDRES20;0;0;BANCOPICHINCHA  NECESITO  PRONTA  RESPUESTA  FAVOR  ESPERAR  VOLUNTAD  PODER  COBRAR  QUINCENA  SERIO  PESIMO  SERVICIO;0.34;0.42000000000000004;
1089233380720431105;2019-01-26  18:47:29;VAMOS  IDOLO;VAMOSIDOLOEC;578;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
